ad_url;price;size_room;size_wg;area;street_address;full_address;lat_lng
"<a href=""/wg-zimmer-in-Berlin-Wilmersdorf.7917168.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/44/bba230330728296824a217f278d2bf594a20ad20154aa6a10088e24b2a4e9339_Room_2i.small.JPG);""></a>";700;17.0;3;Wilmersdorf;Uhlandstrasse142;Uhlandstrasse142 Wilmersdorf Berlin;(52.49491889999999, 13.3242146)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8359818.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/44/d84e5c882180cd5bf2716511530986ed6c544128e011a6fc56309c9d170d9bba_bedroom.small.jpg);""></a>";650;16.0;3;Friedrichshain;GubenerStrasse52A;GubenerStrasse52A Friedrichshain Berlin;(52.51378, 13.44775)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6784591.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/31/7df1d8e03ce383b1ae1e3a9e731ec06a336ce707efa57973d57fe5d4de45634c_156551439799499481671.small.JPEG);""></a>";420;10.0;3;Kreuzberg;SchlesischeStrasse37;SchlesischeStrasse37 Kreuzberg Berlin;(52.4998003, 13.4448946)
"<a href=""/wg-zimmer-in-Berlin-Tempelhof.8398473.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/69f6124b6f9d6c5d133535ddf046e63b3b93e46e2cb2a2455a03a6291f762f02_IMG_7079.small.jpg);""></a>";437;16.0;4;Tempelhof;Wenckebachstrasse2;Wenckebachstrasse2 Tempelhof Berlin;(52.46015, 13.38723)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.6894791.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/37/f389e22c0ceb47245201bd589d0115fc0ec8f3ee3dd5773c8a971d2b6f5a677b_kaletta_projects_nA__ldnerplatz__6_von_40_.small.jpg);""></a>";650;13.0;2;Friedrichshain;Archibaldweg12;Archibaldweg12 Friedrichshain Berlin;(52.502714, 13.4828196)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8394562.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/9084a58d2c38350388524f8c26f33a3dba83d0b59b0001b3b8f86acb2505c1db_Zimmer_4.small.JPG);""></a>";550;21.0;3;Charlottenburg;Augsburger,23;Augsburger,23 Charlottenburg Berlin;(41.9292376, -71.22585389999999)
"<a href=""/wg-zimmer-in-Berlin-Tempelhof.8381257.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/0db7ed8e3541c83a025b94b2918c8b67f9f6fd6615681d157b9b1524ae3c034e_0.small.jpg);""></a>";600;12.0;5;Tempelhof;Rumeyplan;Rumeyplan Tempelhof Berlin;(52.4756855, 13.3788198)
"<a href=""/wg-zimmer-in-Berlin-Wilmersdorf.8135596.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/29/8a6824cf6d6e1515c8129873a08992d0d3b573c002fc2becd5b5804fee13b42e_Room_4i_copy.small.JPG);""></a>";700;16.0;5;Wilmersdorf;Uhlandstrasse142;Uhlandstrasse142 Wilmersdorf Berlin;(52.49491889999999, 13.3242146)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.6465762.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/23/311874b98202df7dcf2dfc4ba2625a6fbadc319eab4d14b5e609d720ee6070d7_IMG_0962.small.jpg);""></a>";685;16.0;2;Friedrichshain;Richard-Sorge-Str.10;Richard-Sorge-Str.10 Friedrichshain Berlin;(52.5184283, 13.449486)
"<a href=""/wg-zimmer-in-Berlin-Friedenau.8352231.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/43/cb4602937cf5ee10390ce33f42f47704fa8dd89e573479923b30039b2ab9fcc7_DSC07919.small.jpeg);""></a>";700;17.0;3;Friedenau;Bruennhildestrasse8;Bruennhildestrasse8 Friedenau Berlin;(None, None)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6619261.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/12/f4a74cf966192610_kueche_1.small.jpg);""></a>";650;16.0;3;Kreuzberg;Hasenheide65;Hasenheide65 Kreuzberg Berlin;(52.488554, 13.4092281)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6619235.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/12/a05bb30e66192350_kueche_1.small.jpg);""></a>";750;22.0;3;Kreuzberg;Hasenheide65;Hasenheide65 Kreuzberg Berlin;(52.488554, 13.4092281)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.5405803.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/30/821ae9e1c683f174893a9da000226d1f98238683f1606e87658aaf6e8c44d96f_Kleines_Zimmer01.small.jpeg);""></a>";500;14.0;3;PrenzlauerBerg;StorkowerStr.68;StorkowerStr.68 PrenzlauerBerg Berlin;(52.53801, 13.44598)
"<a href=""/wg-zimmer-in-Berlin-Friedenau.7918437.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/19/c97ecf1886537053595628121932f87fe28cb07fe87fdf1df930f682df742589_Room_5.small.jpeg);""></a>";700;17.0;5;Friedenau;Isoldestrasse1;Isoldestrasse1 Friedenau Berlin;(51.99240899999999, 7.550314299999999)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.8359818.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/44/d84e5c882180cd5bf2716511530986ed6c544128e011a6fc56309c9d170d9bba_bedroom.small.jpg);""></a>";650;16.0;3;Friedrichshain;GubenerStrasse52A;GubenerStrasse52A Friedrichshain Berlin;(52.51378, 13.44775)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6784591.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/31/7df1d8e03ce383b1ae1e3a9e731ec06a336ce707efa57973d57fe5d4de45634c_156551439799499481671.small.JPEG);""></a>";420;10.0;3;Kreuzberg;SchlesischeStrasse37;SchlesischeStrasse37 Kreuzberg Berlin;(52.4998003, 13.4448946)
"<a href=""/wg-zimmer-in-Berlin-Tempelhof.8398473.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/69f6124b6f9d6c5d133535ddf046e63b3b93e46e2cb2a2455a03a6291f762f02_IMG_7079.small.jpg);""></a>";437;16.0;4;Tempelhof;Wenckebachstrasse2;Wenckebachstrasse2 Tempelhof Berlin;(52.46015, 13.38723)
"<a href=""/wg-zimmer-in-Berlin-Friedrichshain.6894791.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2018/37/f389e22c0ceb47245201bd589d0115fc0ec8f3ee3dd5773c8a971d2b6f5a677b_kaletta_projects_nA__ldnerplatz__6_von_40_.small.jpg);""></a>";650;13.0;2;Friedrichshain;Archibaldweg12;Archibaldweg12 Friedrichshain Berlin;(52.502714, 13.4828196)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8394562.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/9084a58d2c38350388524f8c26f33a3dba83d0b59b0001b3b8f86acb2505c1db_Zimmer_4.small.JPG);""></a>";550;21.0;3;Charlottenburg;Augsburger,23;Augsburger,23 Charlottenburg Berlin;(41.9292376, -71.22585389999999)
